a	ˈeɪ
alberta	ælbˈɜːɾə
album	ˈælbəm
albums	ˈælbəmz
albuquerque	ˈælbəkˌɜːki
alcohol	ˈælkəhˌɑːl
alert	ɐlˈɜːt
alerts	ɐlˈɜːts
alex	ˈælɪks
alexander	ˌælɪɡzˈændɚ
alfred	ˈælfɹɪd
algorithm	ˈælɡɚɹˌɪθəm
algorithms	ˈælɡɚɹˌɪθəmz
ali	ˈɑːli
alias	ˈeɪliəs
alice	ˈælɪs
alien	ˈeɪliən
alignment	ɐlˈaɪnmənt
alive	ɐlˈaɪv
all	ˈɔːl
alleged	ɐlˈɛdʒd
allen	ˈælən
alliance	ɐlˈaɪəns
allied	ˈælaɪd
allocated	ˈæləkˌeɪɾᵻd
allocation	ˌæləkˈeɪʃən
allow	ɐlˈaʊ
allowed	ɐlˈaʊd
allowing	ɐlˈaʊɪŋ
allows	ɐlˈaʊz
almost	ˈɔːlmoʊst
alone	ɐlˈoʊn
along	ɐlˈɔŋ
alpha	ˈælfə
alphabetical	ˌælfəbˈɛɾɪkəl
alpine	ˈælpaɪn
already	ɔːlɹˈɛdi
also	ˈɔːlsoʊ
alt	ˈɑːlt
alter	ˈɔltɚ
alternate	ɔːltˈɜːnət
alternative	ɔːltˈɜːnətˌɪv
alternatives	ɔːltˈɜːnətˌɪvz
although	ɔːlðˈoʊ
aluminum	ɐlˈuːmɪnəm
alumni	ɐlˈʌmni
always	ˈɔːlweɪz
am	æm
amanda	ɐmˈændə
amateur	ˈæmətʃɚ
amazing	ɐmˈeɪzɪŋ
amazon	ˈæmɐzˌɑːn
amber	ˈæmbɚ
amd	ˌeɪˌɛmdˈiː
amend	ɐmˈɛnd
amended	ɐmˈɛndᵻd
amendment	ɐmˈɛndmənt
amendments	ɐmˈɛndmənts
amenities	ɐmˈɛnᵻɾiz
america	ɐmˈɛɹɪkə
american	ɐmˈɛɹɪkən
americans	ɐmˈɛɹɪkənz
americas	ɐmˈɛɹɪkəz
amino	ɐmˈiːnoʊ
among	ɐmˈʌŋ
amongst	ɐmˈʌŋst
amount	ɐmˈaʊnt
amounts	ɐmˈaʊnts
amp	ˈæmp
ampland	ˈæmplənd
amsterdam	ˈæmstɚdˌæm
amy	ˈeɪmi
an	æn
anal	ˈeɪnəl
analog	ˈænəlˌɑːɡ
analysis	ɐnˈæləsˌɪs
analyst	ˈænɐlˌɪst
analysts	ˈænɐlˌɪsts
analytical	ˌænɐlˈɪɾɪkəl
analyze	ˈænɐlˌaɪz
analyzes	ˈænɐlˌaɪzᵻz
anatomy	ɐnˈæɾəmi
anchor	ˈæŋkɚ
ancient	ˈeɪntʃənt
and	ænd
andale	ˈændeɪl
anderson	ˈændɚsən
andrea	ˈændɹiə
andreas	ɑːndɹˈeɪəs
andrew	ˈændɹuː
andy	ˈændi
angel	ˈeɪndʒəl
angeles	ˈændʒəlɪs
angels	ˈeɪndʒəlz
anger	ˈæŋɡɚ
angle	ˈæŋɡəl
angry	ˈæŋɡɹi
animal	ˈænɪməl
animals	ˈænɪməlz
animated	ˈænɪmˌeɪɾᵻd
animation	ˌænɪmˈeɪʃən
anime	ˈænɪmˌeɪ
ann	ˈæn
anna	ˈænə
anne	ˈæn
annex	ˈænɛks
anniversary	ˌænɪvˈɜːsɚɹi
annotation	ˌænətˈeɪʃən
announce	ɐnˈaʊns
announced	ɐnˈaʊnst
announcement	ɐnˈaʊnsmənt
announcements	ɐnˈaʊnsmənts
announces	ɐnˈaʊnsᵻz
annual	ˈænjuːəl
annually	ˈænjuːəli
anonymous	ɐnˈɑːnəməs
another	ɐnˈʌðɚ
answer	ˈænsɚ
answered	ˈænsɚd
answers	ˈænsɚz
antenna	æntˈɛnə
anthony	ˈænθəni
anti	ˈæntaɪ
anticipated	æntˈɪsᵻpˌeɪɾᵻd
antique	æntˈiːk
antiques	æntˈiːks
antivirus	ˌæntɪvˈaɪɹəs
antonio	æntˈoʊnɪˌoʊ
anxiety	æŋzˈaɪəɾi
any	ˌɛni
anybody	ˈɛnɪbˌɑːdi
anymore	ˌɛnɪmˈɔːɹ
anyone	ˈɛnɪwˌʌn
anything	ˈɛnɪθˌɪŋ
anytime	ˈɛnɪtˌaɪm
anyway	ˈɛnɪwˌeɪ
anywhere	ˈɛnɪwˌɛɹ
aol	ˌeɪˌoʊˈɛl
ap	ˈæp
apache	ɐpˈætʃi
apart	ɐpˈɑːɹt
apartment	ɐpˈɑːɹtmənt
apartments	ɐpˈɑːɹtmənts
api	ˌeɪpˌiːˈaɪ
app	ˈæp
apparel	ɐpˈæɹəl
apparent	ɐpˈæɹənt
apparently	ɐpˈæɹəntli
appeal	ɐpˈiːl
appeals	ɐpˈiːlz
appear	ɐpˈɪɹ
appearance	ɐpˈɪɹəns
appeared	ɐpˈɪɹd
appearing	ɐpˈɪɹɪŋ
appears	ɐpˈɪɹz
appendix	ɐpˈɛndɪks
apple	ˈæpəl
appliance	ɐplˈaɪəns
appliances	ɐplˈaɪənsᵻz
applicable	ɐplˈɪkəbəl
applicant	ˈæplɪkənt
applicants	ˈæplɪkənts
application	ˌæplɪkˈeɪʃən
applications	ˌæplɪkˈeɪʃənz
applied	ɐplˈaɪd
applies	ɐplˈaɪz
apply	ɐplˈaɪ
applying	ɐplˈaɪɪŋ
appointed	ɐpˈɔɪntᵻd
appointment	ɐpˈɔɪntmənt
appraisal	ɐpɹˈeɪzəl
appreciate	ɐpɹˈiːʃɪˌeɪt
appreciated	ɐpɹˈiːʃɪˌeɪɾᵻd
appreciation	ɐpɹˌiːʃɪˈeɪʃən
approach	ɐpɹˈoʊtʃ
approaches	ɐpɹˈoʊtʃᵻz
appropriate	ɐpɹˈoʊpɹɪət
approval	ɐpɹˈuːvəl
approve	ɐpɹˈuːv
approved	ɐpɹˈuːvd
approx	ɐpɹˈɑːks
approximately	ɐpɹˈɑːksɪmətli
apps	ˈæps
apr	ˈæpɹə
april	ˈeɪpɹəl
ar	ˈɑːɹ
arab	ˈæɹəb
arabia	ɚɹˈeɪbiə
arabic	ˈæɹɐbˌɪk
arc	ˈɑːɹk
arcade	ɑːɹkˈeɪd
arch	ˈɑːɹtʃ
architect	ˈɑːɹkɪtˌɛkt
architectural	ˌɑːɹkɪtˈɛktʃɚɹəl
architecture	ˈɑːɹkɪtˌɛktʃɚ
archive	ˈɑːɹkaɪv
archived	ˈɑːɹkaɪvd
archives	ˈɑːɹkaɪvz
arctic	ˈɑːɹktɪk
are	ɑːɹ
area	ˈɛɹiə
areas	ˈɛɹiəz
arena	ɚɹˈiːnə
arg	ˈɑːɹɡ
argentina	ˌɑːɹdʒəntˈiːnə
argue	ˈɑːɹɡjuː
argument	ˈɑːɹɡjuːmənt
arguments	ˈɑːɹɡjuːmənts
arise	ɚɹˈaɪz
arising	ɚɹˈaɪzɪŋ
arizona	ˌæɹɪzˈoʊnə
arkansas	ˈɑːɹkənsˌɔː
arlington	ˈɑːɹlɪŋtən
arm	ˈɑːɹm
armed	ˈɑːɹmd
arms	ˈɑːɹmz
army	ˈɑːɹmi
arnold	ˈɑːɹnəld
around	ɚɹˈaʊnd
arrange	ɚɹˈeɪndʒ
arranged	ɚɹˈeɪndʒd
arrangement	ɚɹˈeɪndʒmənt
arrangements	ɚɹˈeɪndʒmənts
array	ɚɹˈeɪ
arrest	ɚɹˈɛst
arrested	ɚɹˈɛstᵻd
arrival	ɚɹˈaɪvəl
arrive	ɚɹˈaɪv
arrived	ɚɹˈaɪvd
arrow	ˈæɹoʊ
art	ˈɑːɹt
arthritis	ɑːɹθɹˈaɪɾɪs
arthur	ˈɑːɹθɚ
article	ˈɑːɹɾɪkəl
articles	ˈɑːɹɾɪkəlz
artificial	ˌɑːɹɾɪfˈɪʃəl
artist	ˈɑːɹɾɪst
artistic	ɑːɹtˈɪstɪk
artists	ˈɑːɹɾɪsts
arts	ˈɑːɹts
artwork	ˈɑːɹtwɜːk
as	æz
ascii	ˈæski
ash	ˈæʃ
ashley	ˈæʃli
asia	ˈeɪʒə
asian	ˈeɪʒən
aside	ɐsˈaɪd
asin	ˈæsɪn
ask	ˈæsk
asked	ˈæskt
asking	ˈæskɪŋ
asks	ˈæsks
asp	ˈæsp
aspect	ˈæspɛkt
aspects	ˈæspɛkts
ass	ˈæs
assault	ɐsˈɔlt
assembly	ɐsˈɛmbli
assess	ɐsˈɛs
assessed	ɐsˈɛst
assessment	ɐsˈɛsmənt
assessments	ɐsˈɛsmənts
asset	ˈæsɛt
assets	ˈæsɛts
assigned	ɐsˈaɪnd
assignment	ɐsˈaɪnmənt
assignments	ɐsˈaɪnmənts
assist	ɐsˈɪst
assistance	ɐsˈɪstəns
assistant	ɐsˈɪstənt
assisted	ɐsˈɪstᵻd
associate	ɐsˈoʊsɪˌeɪt
associated	ɐsˈoʊsɪˌeɪɾᵻd
associates	ɐsˈoʊsɪˌeɪts
association	ɐsˌoʊsɪˈeɪʃən
associations	ɐsˌoʊsɪˈeɪʃənz
assume	ɐsˈuːm
assumed	ɐsˈuːmd
assumes	ɐsˈuːmz
assuming	ɐsˈuːmɪŋ
assumption	ɐsˈʌmpʃən
assumptions	ɐsˈʌmpʃənz
assurance	əʃˈʊɹɹəns
assure	əʃˈʊɹ
asthma	ˈæzmə
astronomy	ɐstɹˈɑːnəmi
at	æt
athens	ˈæθᵻnz
athletes	ˈæθliːts
athletic	æθlˈɛɾɪk
athletics	æθlˈɛɾɪks
ati	ˌeɪtˌiːˈaɪ
atlanta	ɐtlˈæntə
atlantic	ɐtlˈæntɪk
atlas	ˈætləs
atm	ˌeɪtˌiːˈɛm
atmosphere	ˈætməsfˌɪɹ
atom	ˈæɾəm
atomic	ɐtˈɑːmɪk
attach	ɐtˈætʃ
attached	ɐtˈætʃt
attachment	ɐtˈætʃmənt
attachments	ɐtˈætʃmənts
attack	ɐtˈæk
attacks	ɐtˈæks
attempt	ɐtˈɛmpt
attempted	ɐtˈɛmptᵻd
attempts	ɐtˈɛmpts
attend	ɐtˈɛnd
attendance	ɐtˈɛndəns
attended	ɐtˈɛndᵻd
attending	ɐtˈɛndɪŋ
attention	ɐtˈɛnʃən
attitude	ˈæɾɪtˌuːd
attitudes	ˈæɾɪtˌuːdz
attorney	ɐtˈɜːni
attorneys	ɐtˈɜːniz
attract	ɐtɹˈækt
attraction	ɐtɹˈækʃən
attractions	ɐtɹˈækʃənz
attractive	ɐtɹˈæktɪv
attribute	ˈætɹɪbjˌuːt
attributes	ˈætɹɪbjˌuːts
au	ˌoʊ
auckland	ˈɔːklənd
auction	ˈɔːkʃən
auctions	ˈɔːkʃənz
aud	ˈɔːd
audi	ˈaʊdi
audience	ˈɔːdiəns
audio	ˈɔːdɪˌoʊ
audit	ˈɔːdɪt
aug	ˈɔːɡ
august	ˈɔːɡəst
aus	ˌoʊz
austin	ˈɔːstɪn
australia	ɔːstɹˈeɪliə
australian	ɔːstɹˈeɪliən
austria	ˈɔːstɹiə
authentic	ɔːθˈɛntɪk
authentication	ɔːθˌɛntɪkˈeɪʃən
author	ˈɔːθɚ
authorities	ɐθˈɔːɹɪɾiz
authority	ɐθˈɔːɹɪɾi
authorization	ˌɔːθɚɹᵻzˈeɪʃən
authorized	ˈɔːθɚɹˌaɪzd
authors	ˈɔːθɚz
auto	ˈɔːɾoʊ
automated	ˈɔːɾəmˌeɪɾᵻd
automatic	ˌɔːɾəmˈæɾɪk
automatically	ˌɔːɾəmˈæɾɪkli
automation	ˌɔːɾəmˈeɪʃən
automobile	ˈɔːɾəməbˌiəl
automotive	ˌɔːɾoʊmˈoʊɾɪv
autos	ˈɔːɾoʊz
autumn	ˈɔːɾʌm
av	ˈæv
availability	ɐvˌeɪləbˈɪlᵻɾi
available	ɐvˈeɪləbəl
avatar	ˈævɐtˌɑːɹ
ave	ˈɑːveɪ
avenue	ˈævənˌuː
average	ˈævɹɪdʒ
avg	ˌeɪvˌiːdʒˈiː
avi	ˈævi
aviation	ˌeɪvɪˈeɪʃən
avoid	ɐvˈɔɪd
award	ɐwˈɔːɹd
awarded	ɐwˈɔːɹdᵻd
awards	ɐwˈɔːɹdz
aware	ɐwˈɛɹ
awareness	ɐwˈɛɹnəs
away	ɐwˈeɪ
awesome	ˈɔːsʌm
axis	ˈæksɪs
aye	ˈaɪ
az	ˈæz
b	bˈiː
ba	bˈɑː
babe	bˈeɪb
babes	bˈeɪbz
babies	bˈeɪbiz
baby	bˈeɪbi
bachelor	bˈætʃəlɚ
back	bˈæk
backed	bˈækt
background	bˈækɡɹaʊnd
backgrounds	bˈækɡɹaʊndz
backup	bˈækʌp
bacteria	bæktˈɪɹiə
bad	bˈæd
bag	bˈæɡ
bags	bˈæɡz
bahamas	bæhˈɑːməz
bailey	bˈeɪli
baker	bˈeɪkɚ
balance	bˈæləns
balanced	bˈælənst
bali	bˈɑːli
ball	bˈɔːl
balls	bˈɔːlz
baltimore	bˈɔltɪmˌɔːɹ
ban	bˈæn
band	bˈænd
bands	bˈændz
bandwidth	bˈændwɪdθ
bang	bˈæŋ
bangkok	bˈæŋkɑːk
bangladesh	bˌæŋɡlɐdˈɛʃ
bank	bˈæŋk
banking	bˈæŋkɪŋ
bankruptcy	bˈæŋkɹʌptsi
banks	bˈæŋks
banner	bˈænɚ
baptist	bˈæptɪst
bar	bˈɑːɹ
barbados	bɑːɹbˈeɪdoʊs
barbara	bˈɑːɹbɚɹə
barcelona	bˌɑːɹsɪlˈoʊnə
bare	bˈɛɹ
bargain	bˈɑːɹɡɪn
bargains	bˈɑːɹɡɪnz
barnes	bˈɑːɹnz
barrier	bˈæɹiɚ
barriers	bˈæɹɪɹz
barry	bˈæɹi
bars	bˈɑːɹz
base	bˈeɪs
baseball	bˈeɪsbɔːl
based	bˈeɪst
baseline	bˈeɪslaɪn
bases	bˈeɪsᵻz
basic	bˈeɪsɪk
basically	bˈeɪsɪkli
basics	bˈeɪsɪks
basin	bˈeɪsən
basis	bˈeɪsɪs
basket	bˈæskɪt
basketball	bˈæskɪtbˌɔːl
baskets	bˈæskɪts
bass	bˈeɪs
bat	bˈæt
batch	bˈætʃ
bath	bˈæθ
bathroom	bˈæθɹuːm
bathrooms	bˈæθɹuːmz
batteries	bˈæɾɚɹiz
battery	bˈæɾɚɹi
battle	bˈæɾəl
battlefield	bˈæɾəlfˌiːld
bay	bˈeɪ
bb	bˌiːbˈiː
bbc	bˌiːbˌiːsˈiː
bbw	bˌiːbˌiːdˈʌbəljˌuː
bc	bˌiːsˈiː
bdsm	bˌiːdˌiːˌɛsˈɛm
be	bˈiː
beach	bˈiːtʃ
beaches	bˈiːtʃᵻz
beads	bˈiːdz
beam	bˈiːm
bean	bˈiːn
beans	bˈiːnz
bear	bˈɛɹ
bearing	bˈɛɹɪŋ
bears	bˈɛɹz
beast	bˈiːst
beastiality	bˌiːstɪˈælᵻɾi
beat	bˈiːt
beatles	bˈiːɾəlz
beautiful	bjˈuːɾifəl
beauty	bjˈuːɾi
beaver	bˈiːvɚ
became	bɪkˈeɪm
because	bɪkˈʌz
become	bɪkˈʌm
becomes	bɪkˈʌmz
becoming	bᵻkˈʌmɪŋ
bed	bˈɛd
bedding	bˈɛdɪŋ
bedroom	bˈɛdɹuːm
bedrooms	bˈɛdɹuːmz
beds	bˈɛdz
bee	bˈiː
beef	bˈiːf
been	bˌɪn
beer	bˈɪɹ
before	bᵻfˈɔːɹ
began	bɪɡˈæn
begin	bɪɡˈɪn
beginning	bɪɡˈɪnɪŋ
begins	bɪɡˈɪnz
begun	bɪɡˈʌn
behalf	bᵻhˈæf
behavior	bᵻhˈeɪvjɚ
behavioral	bᵻhˈeɪvjɚɹəl
behind	bᵻhˈaɪnd
beijing	beɪdʒˈɪŋ
being	bˈiːɪŋ
belarus	bˌɛlɚɹˈuːs
belgium	bˈɛldʒəm
belief	bᵻlˈiːf
beliefs	bᵻlˈiːfs
believe	bᵻlˈiːv
believed	bᵻlˈiːvd
believes	bᵻlˈiːvz
belize	bɛlˈiːz
bell	bˈɛl
belly	bˈɛli
belong	bᵻlˈɔŋ
below	bᵻlˈoʊ
belt	bˈɛlt
ben	bˈɛn
bench	bˈɛntʃ
bend	bˈɛnd
beneath	bᵻnˈiːθ
beneficial	bˌɛnɪfˈɪʃəl
benefit	bˈɛnɪfˌɪt
benefits	bˈɛnɪfˌɪts
benjamin	bˈɛndʒəmɪn
bennett	bˈɛnɪt
benz	bˈɛnts
berkeley	bˈɜːkli
berlin	bɜːlˈɪn
bermuda	bɜːmjˈuːdə
bernard	bɜːnˈɑːɹd
berry	bˈɛɹi
besides	bᵻsˈaɪdz
best	bˈɛst
bestiality	bˌɛstɪˈælᵻɾi
bestsellers	bɛstsˈɛlɚz
bet	bˈɛt
beta	bˈeɪɾə
better	bˈɛɾɚ
betting	bˈɛɾɪŋ
between	bᵻtwˈiːn
beverage	bˈɛvɚɹɪdʒ
beverly	bˈɛvɚli
beyond	bᵻjˈɔnd
bi	bˈaɪ
bias	bˈaɪəs
bible	bˈaɪbəl
bibliography	bˌɪblɪˈɑːɡɹəfi
bicycle	bˈaɪsɪkəl
bid	bˈɪd
bidder	bˈɪdɚ
bidding	bˈɪdɪŋ
bids	bˈɪdz
big	bˈɪɡ
bigger	bˈɪɡɚ
biggest	bˈɪɡɪst
bike	bˈaɪk
bikes	bˈaɪks
bikini	bɪkˈiːni
bill	bˈɪl
billing	bˈɪlɪŋ
billion	bˈɪliən
bills	bˈɪlz
billy	bˈɪli
bin	bˈɪn
binary	bˈaɪnɚɹi
binding	bˈaɪndɪŋ
bingo	bˈɪŋɡoʊ
bio	bˈaɪoʊ
biography	baɪˈɑːɡɹəfi
biol	bˈɪɑːl
biological	bˌaɪəlˈɑːdʒɪkəl
biology	baɪˈɑːlədʒi
bios	bˈaɪoʊz
biotechnology	bˌaɪoʊtɛknˈɑːlədʒi
bird	bˈɜːd
birds	bˈɜːdz
birmingham	bˈɜːmɪŋˌæm
birth	bˈɜːθ
birthday	bˈɜːθdeɪ
bishop	bˈɪʃəp
bit	bˈɪt
bitch	bˈɪtʃ
bits	bˈɪts
biz	bˈɪz
bizarre	bᵻzˈɑːɹ
bizrate	bˈɪzɹeɪt
bk	bˌiːkˈeɪ
black	blˈæk
blackjack	blˈækdʒæk
blade	blˈeɪd
blair	blˈɛɹ
blame	blˈeɪm
blank	blˈæŋk
blast	blˈæst
blend	blˈɛnd
blind	blˈaɪnd
block	blˈɑːk
blocks	blˈɑːks
blog	blˈɑːɡ
blogger	blˈɑːɡɚ
bloggers	blˈɑːɡɚz
blogging	blˈɑːɡɪŋ
blogs	blˈɑːɡz
blonde	blˈɑːnd
blood	blˈʌd
blow	blˈoʊ
blowjob	blˈoʊdʒɑːb
blowjobs	blˈoʊdʒɑːbz
blue	blˈuː
blues	blˈuːz
bluetooth	blˈuːtuːθ
blvd	bˌiːˌɛlvˌiːdˈiː
bmw	bˌiːˌɛmdˈʌbəljˌuː
board	bˈɔːɹd
boards	bˈɔːɹdz
boat	bˈoʊt
boats	bˈoʊts
bob	bˈɑːb
bobby	bˈɑːbi
bodies	bˈɑːdiz
body	bˈɑːdi
bold	bˈoʊld
bolivia	bəlˈɪviə
bomb	bˈɑːm
bond	bˈɑːnd
bondage	bˈɑːndɪdʒ
bonds	bˈɑːndz
bone	bˈoʊn
bones	bˈoʊnz
bonus	bˈoʊnəs
boob	bˈuːb
boobs	bˈuːbz
book	bˈʊk
booking	bˈʊkɪŋ
bookings	bˈʊkɪŋz
bookmark	bˈʊkmɑːɹk
bookmarks	bˈʊkmɑːɹks
books	bˈʊks
bookstore	bˈʊkstɔːɹ
boolean	bˈuːliən
boom	bˈuːm
boost	bˈuːst
boot	bˈuːt
booth	bˈuːθ
boots	bˈuːts
booty	bˈuːɾi
border	bˈɔːɹdɚ
borders	bˈɔːɹdɚz
born	bˈɔːɹn
bosnia	bˈɑːsniə
boss	bˈɔs
boston	bˈɔstən
both	bˈoʊθ
botswana	bətswˈɑːnə
bottle	bˈɑːɾəl
bottles	bˈɑːɾəlz
bottom	bˈɑːɾəm
bought	bˈɔːt
boulevard	bˈuːlɪvˌɑːɹd
bound	bˈaʊnd
boundaries	bˈaʊndɚɹiz
boundary	bˈaʊndɚɹi
bow	bˈoʊ
bowl	bˈoʊl
bowling	bˈoʊlɪŋ
box	bˈɑːks
boxes	bˈɑːksᵻz
boxing	bˈɑːksɪŋ
boy	bˈɔɪ
boys	bˈɔɪz
bp	bˌiːpˈiː
br	bˌiːˈɑːɹ
bra	bɹˈɑː
bracelet	bɹˈeɪslɪt
brad	bɹˈæd
bradley	bɹˈædli
brain	bɹˈeɪn
brake	bɹˈeɪk
branch	bɹˈæntʃ
branches	bɹˈæntʃᵻz
brand	bɹˈænd
brands	bɹˈændz
brass	bɹˈæs
brazil	bɹɐzˈɪl
